,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🏙,travel,cityscape,[cityscape],1f3d9-fe0f,"[building, city, vacation, places]",1f3d9,🏙,,,
🏚,travel,derelict house building,"[derelict_house_building, house_abandoned]",1f3da-fe0f,"[building, house, derelict, places]",1f3da,🏚,[:derelict_house_building:],,
🏛,travel,classical building,[classical_building],1f3db-fe0f,"[building, travel, places, classical, vacation]",1f3db,🏛,,,
🏜,travel,desert,[desert],1f3dc-fe0f,"[travel, hot, desert, places, vacation]",1f3dc,🏜,,,
🏝,travel,desert island,"[desert_island, island]",1f3dd-fe0f,"[swim, places, island, travel, vacation, tropical, beach, desert]",1f3dd,🏝,[:desert_island:],,
🏞,travel,national park,"[national_park, park]",1f3de-fe0f,"[travel, national park, park, vacation, camp]",1f3de,🏞,[:national_park:],,
🏟,travel,stadium,[stadium],1f3df-fe0f,"[building, places, travel, vacation, stadium, boys night]",1f3df,🏟,,,
🏠,travel,house building,[house],,"[building, home, places, house]",1f3e0,🏠,,,
🏡,travel,house with garden,[house_with_garden],,"[building, home, garden, places, house]",1f3e1,🏡,,,
🏢,travel,office building,[office],,"[building, work, places]",1f3e2,🏢,,,
🏣,travel,japanese post office,[post_office],,"[building, post office, post, japanese, places]",1f3e3,🏣,,,
